Source,Target,Type,Id,Label,Weight
171,160,Directed,1,,10
167,169,Directed,2,,10
167,170,Directed,3,,10
166,167,Directed,4,,10
166,169,Directed,5,,10
166,170,Directed,6,,10
164,132,Directed,7,,10
169,166,Directed,8,,10
169,167,Directed,9,,10
169,168,Directed,10,,10
169,170,Directed,11,,10
150,1,Directed,12,,10
150,132,Directed,13,,10
150,158,Directed,14,,10
150,166,Directed,15,,10
159,158,Directed,16,,10
159,160,Directed,17,,10
162,132,Directed,18,,10
162,150,Directed,19,,10
162,158,Directed,20,,10
162,171,Directed,21,,10
162,161,Directed,22,,10
162,162,Directed,23,,10
162,163,Directed,24,,10
162,164,Directed,25,,10
162,167,Directed,26,,10
162,169,Directed,27,,10
162,170,Directed,28,,10
161,132,Directed,29,,10
161,162,Directed,30,,10
161,163,Directed,31,,10
171,158,Directed,32,,9
150,18,Directed,33,,9
132,150,Directed,34,,9
132,161,Directed,35,,9
132,162,Directed,36,,9
132,163,Directed,37,,9
132,164,Directed,38,,9
132,165,Directed,39,,9
171,132,Directed,40,,8
167,18,Directed,41,,8
167,23,Directed,42,,8
167,132,Directed,43,,8
167,145,Directed,44,,8
167,150,Directed,45,,8
167,158,Directed,46,,8
167,171,Directed,47,,8
167,159,Directed,48,,8
167,160,Directed,49,,8
167,161,Directed,50,,8
167,162,Directed,51,,8
167,163,Directed,52,,8
167,164,Directed,53,,8
167,165,Directed,54,,8
167,166,Directed,55,,8
167,168,Directed,56,,8
166,150,Directed,57,,8
166,168,Directed,58,,8
169,23,Directed,59,,8
169,132,Directed,60,,8
169,150,Directed,61,,8
169,158,Directed,62,,8
169,171,Directed,63,,8
169,159,Directed,64,,8
169,160,Directed,65,,8
169,161,Directed,66,,8
169,162,Directed,67,,8
169,163,Directed,68,,8
169,164,Directed,69,,8
169,165,Directed,70,,8
150,147,Directed,71,,8
150,171,Directed,72,,8
150,163,Directed,73,,8
158,141,Directed,74,,8
158,145,Directed,75,,8
158,150,Directed,76,,8
158,171,Directed,77,,8
158,159,Directed,78,,8
158,160,Directed,79,,8
170,159,Directed,80,,8
170,166,Directed,81,,8
170,167,Directed,82,,8
170,168,Directed,83,,8
170,169,Directed,84,,8
160,150,Directed,85,,8
160,158,Directed,86,,8
160,171,Directed,87,,8
160,159,Directed,88,,8
161,150,Directed,89,,8
161,158,Directed,90,,8
161,164,Directed,91,,8
171,150,Directed,92,,7
164,150,Directed,93,,7
164,161,Directed,94,,7
164,162,Directed,95,,7
164,163,Directed,96,,7
164,167,Directed,97,,7
132,6,Directed,98,,7
